PA2_ang,S_1,S_2,S_3,S_4,C_12,A_12,C_34,A_34,C_13,A_13,C_24,A_24,C_14,A_14,C_23,A_23,C_1234,A_1234,ap1,ap2,ap3,ap4
0,41866,58194,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,42242,62273,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,42525,66900,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,42351,72391,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,42163,77562,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,42301,81304,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,42138,82636,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,41319,82606,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,41433,82149,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,42412,81296,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,42006,78810,0,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,42596,73866,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,42632,69016,0,0,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,42435,63736,0,0,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,41911,59271,0,0,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,41792,56202,0,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,41506,55038,0,0,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,41765,56052,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,42354,59075,0,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
